menu,price,image_url
ローストビーフ　たっぷり野菜　,165円,https://www.kurasushi.co.jp/menu/upload/e02d65d2d8aeebf4e832b86b6dca1eb8adaf3619.jpg
真いか　たっぷり野菜,165円,https://www.kurasushi.co.jp/menu/upload/931c43bffb1ab0f1e06ae042f0d4823b8e5ac077.jpg
ビントロ,165円,https://www.kurasushi.co.jp/menu/upload/e93cad164f8a936e1196d963394fb0386417ff68.jpg
オニオンサーモン,165円,https://www.kurasushi.co.jp/menu/upload/7de2915e6c4503239aed7237bc2ef667010cc39f.jpg
真たこ,165円,https://www.kurasushi.co.jp/menu/upload/95083a1a44f89948c9c601c674fc437bc3b175ee.jpg
生たこ,165円,https://www.kurasushi.co.jp/menu/upload/7d7970fde6d7ec2389ed6e5f08ff84a14e07be14.jpg
大葉生たこ,165円,https://www.kurasushi.co.jp/menu/upload/72311555a650033d31ed41bb5b98a5fa5279aa1e.jpg
えんがわ（かれい）,165円,https://www.kurasushi.co.jp/menu/images_menu/affd1a68b7b7cb937652de6e4ffaa220314b6e26.jpg
えび天にぎり,165円,https://www.kurasushi.co.jp/menu/upload/070a4a42eb045e2e06b8ae574ddcc67d60aaa67c.jpg
極み熟成　真鯛,250円,https://www.kurasushi.co.jp/menu/upload/17fe127f857c618953b7ba11279056fa979ce128.jpg
極み熟成ふぐ　ジュレポン酢,250円,https://www.kurasushi.co.jp/menu/upload/cc86ee8b822062fc8d8a9d215e02d650d7cb02ef.jpg
ほたてにぎり,250円,https://www.kurasushi.co.jp/menu/upload/49115c2327c720b614244a868d472a7e6c6dd8ee.jpg
赤えび（一貫）,115円,https://www.kurasushi.co.jp/menu/images_menu/016be384920e9ddb33476d330a6d40d7194a533a.jpg
大切り漬けサーモン（一貫）,115円,https://www.kurasushi.co.jp/menu/upload/98aa00b6c6845b08faa8efa74c57c6c663165c61.jpg
とろける上穴子天にぎり（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/fd782626cd4955e20d6d3eaa6e0965a6440206fb.jpg
絆　真鯛　塩〆炙り（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/a9d46c7234847af556c29f7f36dbf825f7d29429.jpg
大切り　生サーモン（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/b37e5c62fe036ef3db55434c5218d3c8eb87e27a.jpg
大切り　漬け生サーモン（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/780b606cebd0cdfd3db10cc3c3236c0f37ec0742.jpg
明太だし巻きにぎり,165円,https://www.kurasushi.co.jp/menu/upload/30d2aca53db4309e7a6dac44cfef84e4085b6b12.jpg
とろける上穴子（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/a3c5a0495d03d1c321b2ce8b0d8bc524c89a83c2.jpg
極み熟成 中とろ（一貫）,250円,https://www.kurasushi.co.jp/menu/upload/ba507ce18edac6a7079b0f99c9431f7324fe25e8.jpg
極み熟成　あぶり中とろ（一貫）,250円,https://www.kurasushi.co.jp/menu/upload/2808535bc9c2041db96deee7c6d56907c110f783.jpg
特大切り　うな丼にぎり(一貫),345円,https://www.kurasushi.co.jp/menu/upload/0243d9e4d44f87da1d7475403a376b010933846b.jpg
あぶり大とろ一貫,345円,https://www.kurasushi.co.jp/menu/upload/b881a55fb50a295e8617270e4b13015339f8c67e.jpg
【巻きたて】海鮮うに手巻き（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/f1292ae4f47f6afe607a975c340d42e85799bc89.jpg
【巻きたて】ねぎまぐろ手巻き（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/ffa33c8628ca481088f155990eea45c933590cc8.jpg
【巻きたて】たっぷりいくら軍艦,165円,https://www.kurasushi.co.jp/menu/upload/bb09d5e2ae678f52e7053d829e485c5985face94.jpg
【巻きたて】ゆず漬けまぐろ手巻き（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/ba604c3dcc2757682925c92b507ad80545e24e11.jpg
【巻きたて】海鮮盛り手巻き（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/97e4f0255c4dde6b42f9cf42b1400adca37eff5c.jpg
明太まぐろ手巻き（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/564c0cebf3cc676f619759b1be7eb2bab77c15b9.jpg
【巻きたて】えび天手巻き（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/9fbed44ce28d568d979f650815affa16904895da.jpg
【巻きたて】えびいか天手巻き（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/df990d8c52f07b06abdc53ddd011bb57f41ed058.jpg
いかおくら,115円,https://www.kurasushi.co.jp/menu/upload/1169f4a827fddb425520a65592a67453b38cbad2.jpg
大盛　げそ軍艦,115円,https://www.kurasushi.co.jp/menu/upload/22febdfc21ec4dcc1bb5398ce7c21741a8f14d9c.jpg
とろけるはまち軍艦,115円,https://www.kurasushi.co.jp/menu/upload/ae250dccfa6bcc586854a6b4cf5337037ad4aac2.jpg
かにみそ,115円,https://www.kurasushi.co.jp/menu/upload/6b8f82de8ee5dbce08495c883ecc4b9efe6ada10.jpg
たらマヨ軍艦,115円,https://www.kurasushi.co.jp/menu/upload/0d7b0d067a6a7a51626dcaf42600a78d87976c3d.jpg
牛すき焼き風軍艦,115円,https://www.kurasushi.co.jp/menu/upload/8aa06a7d7d88f65cc9f4a75584d09d3d1af5e60a.jpg
ねぎまぐろ,115円,https://www.kurasushi.co.jp/menu/upload/b3404c9d9abbfa254b856921c025527fc94e5b33.jpg
コーン,115円,https://www.kurasushi.co.jp/menu/images_menu/2150d0c02801e7edf8a2a18adf8c939535d90291.jpg
まぐろユッケ,115円,https://www.kurasushi.co.jp/menu/images_menu/3da1965851dc096cc082c77dcb819a4501a9adcd.jpg
納豆,115円,https://www.kurasushi.co.jp/menu/upload/265fe1d0f43cb2c122e34f1f285b0a68fd5e0a15.jpg
えびマヨ,115円,https://www.kurasushi.co.jp/menu/images_menu/6c2aeab8229d2b18bea4368c7aae0c3908bbc54c.jpg
サラダ,115円,https://www.kurasushi.co.jp/menu/images_menu/ae67b1e46c4fb028025bc04b28315e6f2e4dec3e.jpg
ツナサラダ,115円,https://www.kurasushi.co.jp/menu/images_menu/77cbb3efc447e10ada50fb7cab2fad1843f93e1c.jpg
シーフードサラダ,115円,https://www.kurasushi.co.jp/menu/upload/11c6415c154edb6d34916c1bf3e15cbe1cec345a.jpg
味玉,115円,https://www.kurasushi.co.jp/menu/images_menu/07cbb9cd717a75912503a73837c33121b8dac667.jpg
納豆巻,115円,https://www.kurasushi.co.jp/menu/upload/35a8de88b474c2ff98ad180a925c127424412f43.jpg
きゅうり巻,115円,https://www.kurasushi.co.jp/menu/images_menu/88235b45b74169fb87103aad45a526ab20c5cc44.jpg
かんぴょう巻,115円,https://www.kurasushi.co.jp/menu/upload/03f7f34199bd8d495bffa8eb9680d544dc5f6650.jpg
いなり,115円,https://www.kurasushi.co.jp/menu/upload/6e320d6abbcc08308c799d2f78efde84a26d37f7.jpg
たら白子ジュレポン酢軍艦,165円,https://www.kurasushi.co.jp/menu/upload/ac6e3ee39594442c9ad12e3146edfe3ee993fdb3.jpg
いかフライ手巻き（一貫）,165円,https://www.kurasushi.co.jp/menu/upload/f4ff27fdbada08184855c011353b83de512afa02.jpg
鉄火巻,165円,https://www.kurasushi.co.jp/menu/images_menu/3c697dcdab9863d4620d8f06ae2e2c85fe48f95c.jpg
特盛　まぐろ軍艦,250円,https://www.kurasushi.co.jp/menu/upload/f37772066d101650a2f6a6ef449915743db9389b.jpg
ビッくらポン！人気にぎりセット,680円,https://www.kurasushi.co.jp/menu/upload/0d5f5a997c959d9e22a39fb0f1a5bdb2e12d8f28.jpg
ビッくらポン！人気軍艦セット,680円,https://www.kurasushi.co.jp/menu/upload/474cbbcf80324f0a7705dd4180f3ae9d4c7107cd.jpg
旬の海鮮丼　平日限定17時まで,500円,https://www.kurasushi.co.jp/menu/upload/798d5eda5f6d4edc20abfe9e592d4220dcfe2027.jpg
えび天と季節の天丼　平日限定17時まで,500円,https://www.kurasushi.co.jp/menu/upload/4c26bcf7556490cbb70d46892b30e81475d33621.jpg
特上うな丼　平日限定17時まで,1000円,https://www.kurasushi.co.jp/menu/upload/9a6962db5188bdc12a6b6f27abf48877bd120796.jpg
イベリコ豚うどん,450円,https://www.kurasushi.co.jp/menu/upload/d28418232c9778001bd6334aaf6e9865d0f9da5d.jpg
北海道名産　濃厚味噌バターコーンらーめん,450円,https://www.kurasushi.co.jp/menu/upload/7f6600646a6ced75ac1818a53612c5e0d475544b.jpg
北海道名産　濃厚味噌バターコーンらーめん,450円,https://www.kurasushi.co.jp/menu/upload/4fb229818a227e4d160a824d60049e92bef44a09.jpg
7種の魚介 追いかつお醤油らーめん（関西）,450円,https://www.kurasushi.co.jp/menu/images_menu/0c9d01528c8b5f6bf63d20dc194b24c1226aafa0.jpg
7種の魚介 追いかつお醤油らーめん（関東）,450円,https://www.kurasushi.co.jp/menu/images_menu/b96ced3d390762650d1d9d402026ca5ef8eee374.jpg
