menu,price,image_url
特大切り　うな丼にぎり(一貫),345円,239195e9-94b6-4e48-beb1-6b08028627f8.jpg
あぶり大とろ一貫,345円,6fff7f8f-47b1-4ee4-95af-e50ad71a8782.jpg
【巻きたて】海鮮うに手巻き（一貫）,165円,8a8892a1-3381-4709-8cd5-0b71a7347aa2.jpg
【巻きたて】ねぎまぐろ手巻き（一貫）,165円,169bb6ff-3134-40f3-89e9-5d87925b633e.jpg
【巻きたて】たっぷりいくら軍艦,165円,b3b4887a-6d1c-475c-a883-c941dbe03c0e.jpg
【巻きたて】ゆず漬けまぐろ手巻き（一貫）,165円,7b826d54-b1ae-45c1-a059-1fff7e1717dc.jpg
【巻きたて】海鮮盛り手巻き（一貫）,165円,1a039549-e16a-4baa-8b7f-0b1cf5a051af.jpg
明太まぐろ手巻き（一貫）,165円,e45d99c6-ff6f-4a56-a251-dbf7d4653c9c.jpg
【巻きたて】えび天手巻き（一貫）,165円,556cf4cd-ac19-46d1-91d1-b249ccf3dbdd.jpg
【巻きたて】えびいか天手巻き（一貫）,165円,3285cd40-2213-4089-b72d-d17290b878f7.jpg
いかおくら,115円,d76e1030-0d08-4137-8b8b-ef393efd4522.jpg
大盛　げそ軍艦,115円,d3c3e309-bc80-434c-b546-8f634ab51ab5.jpg
とろけるはまち軍艦,115円,b1dfff11-93dc-40e4-9fd1-1c53a27caf3d.jpg
かにみそ,115円,afe99d73-04ec-4a4d-ae00-f81645d3fa11.jpg
たらマヨ軍艦,115円,340cf2c2-2ff6-4d5d-9811-239d6e2cd26f.jpg
牛すき焼き風軍艦,115円,7bac7f31-dc28-4fa5-be15-1a613247a45c.jpg
ねぎまぐろ,115円,4399cd8e-7def-41a7-bfaf-d2415ead2c93.jpg
コーン,115円,cf19b80f-69d4-45fa-b6e1-bfb2b8515794.jpg
まぐろユッケ,115円,9429d735-8054-4de6-922c-beb01797a034.jpg
納豆,115円,01b82671-6e23-4824-9628-49152dd7b2b7.jpg
えびマヨ,115円,dcea37f5-32c8-4310-babe-2285f2344d86.jpg
サラダ,115円,3a67ad00-3f0a-4206-a6e1-e7e04d67cafc.jpg
ツナサラダ,115円,88eeb09a-ae95-493a-b66f-b538d2ae410c.jpg
シーフードサラダ,115円,02a54955-7f21-4818-9009-34eeb02474c6.jpg
味玉,115円,5472ee35-f9c6-46bc-8315-aaf8c577054b.jpg
納豆巻,115円,dbc3bf88-60ae-4d7d-bb73-4435f1925051.jpg
きゅうり巻,115円,bcb750fa-baaa-4b34-b357-795bc7d1eae0.jpg
かんぴょう巻,115円,b0c63fd6-672e-40f8-9207-730c12e91a24.jpg
いなり,115円,9d21af89-70da-4916-bd43-9a12d1c66753.jpg
たら白子ジュレポン酢軍艦,165円,e5a1d824-1254-468f-bfb2-09bd185143eb.jpg
いかフライ手巻き（一貫）,165円,e188fdf2-0847-4c02-be18-ac51112c8233.jpg
鉄火巻,165円,c38bf2c0-c28b-43c1-ae14-b1f05b6d7ed9.jpg
特盛　まぐろ軍艦,250円,a0f8beb1-2a77-43e3-963f-d9091afacd9b.jpg
ビッくらポン！人気にぎりセット,680円,ae328681-2b2a-4aed-b9d2-f6c40968f863.jpg
ビッくらポン！人気軍艦セット,680円,c9a1b549-3fca-406d-92e9-654e11319d56.jpg
旬の海鮮丼　平日限定17時まで,500円,4f2e61bf-7a00-4ef6-ac26-ac7f88cfac7d.jpg
えび天と季節の天丼　平日限定17時まで,500円,94ced785-7718-4ad0-bb20-ef65846aafe8.jpg
特上うな丼　平日限定17時まで,1000円,e089a2c0-cfe4-49c3-a129-d777c4e73705.jpg
イベリコ豚うどん,450円,0dc6c9d2-8f01-427d-bd10-58288b385751.jpg
北海道名産　濃厚味噌バターコーンらーめん,450円,b981b883-610f-4d59-a568-aef35d5f1612.jpg
北海道名産　濃厚味噌バターコーンらーめん,450円,e207cf4b-8593-4b3d-92dd-8ab7427ce0bb.jpg
7種の魚介 追いかつお醤油らーめん（関西）,450円,62f52fdd-6de7-42db-848f-efe5dee1eeb4.jpg
7種の魚介 追いかつお醤油らーめん（関東）,450円,46d0ce8b-f3ea-4fa7-9e87-8d58ce0d60dc.jpg
7種の魚介 濃厚味噌らーめん（関西）,450円,a60c8183-360a-4286-9bef-34d8541d236f.jpg
